vendor,part_number,description,lens_type,focal_length_mm,diameter_mm,na,coating_type,wavelength_min_nm,wavelength_max_nm,center_wavelength_nm,price_usd,url,back_focal_length_mm,substrate_material,is_positive
Thorlabs,LB1014-A,f=25mm N-BK7 Bi-Convex AR 350-700nm,biconvex,25.0,25.4,0.47,AR_BBAR,350,700,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1014-A,18.7,N-BK7,true
Thorlabs,LB1471-A,f=50mm N-BK7 Bi-Convex AR 350-700nm,biconvex,50.0,25.4,0.24,AR_BBAR,350,700,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1471-A,47.0,N-BK7,true
Thorlabs,LB1757-A,f=30mm N-BK7 Bi-Convex AR 350-700nm,biconvex,30.0,25.4,0.39,AR_BBAR,350,700,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1757-A,25.8,N-BK7,true
Thorlabs,LB1901-A,f=75mm N-BK7 Bi-Convex AR 350-700nm,biconvex,75.0,25.4,0.16,AR_BBAR,350,700,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1901-A,73.0,N-BK7,true
Thorlabs,LB1676-A,f=100mm N-BK7 Bi-Convex AR 350-700nm,biconvex,100.0,25.4,0.12,AR_BBAR,350,700,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1676-A,98.3,N-BK7,true
Thorlabs,LB1199-A,f=200mm N-BK7 Bi-Convex AR 350-700nm,biconvex,200.0,25.4,0.06,AR_BBAR,350,700,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1199-A,199.0,N-BK7,true
Thorlabs,LB1378-A,f=500mm N-BK7 Bi-Convex AR 350-700nm,biconvex,500.0,25.4,0.025,AR_BBAR,350,700,,22.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1378-A,499.3,N-BK7,true
Thorlabs,LB1014-B,f=25mm N-BK7 Bi-Convex AR 650-1050nm,biconvex,25.0,25.4,0.47,AR_BBAR,650,1050,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1014-B,18.7,N-BK7,true
Thorlabs,LB1471-B,f=50mm N-BK7 Bi-Convex AR 650-1050nm,biconvex,50.0,25.4,0.24,AR_BBAR,650,1050,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1471-B,47.0,N-BK7,true
Thorlabs,LB1676-B,f=100mm N-BK7 Bi-Convex AR 650-1050nm,biconvex,100.0,25.4,0.12,AR_BBAR,650,1050,,19.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=LB1676-B,98.3,N-BK7,true
