vendor,part_number,description,lens_type,focal_length_mm,diameter_mm,na,coating_type,wavelength_min_nm,wavelength_max_nm,center_wavelength_nm,price_usd,url,back_focal_length_mm,substrate_material,is_positive
Thorlabs,AC254-030-A,f=30mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,30.0,25.4,0.39,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-030-A,23.5,N-BK7/N-SF2,true
Thorlabs,AC254-035-A,f=35mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,35.0,25.4,0.34,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-035-A,28.8,N-BK7/N-SF2,true
Thorlabs,AC254-040-A,f=40mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,40.0,25.4,0.30,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-040-A,33.9,N-BK7/N-SF2,true
Thorlabs,AC254-050-A,f=50mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,50.0,25.4,0.23,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-050-A,44.6,N-BK7/N-SF2,true
Thorlabs,AC254-060-A,f=60mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,60.0,25.4,0.20,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-060-A,55.3,N-BK7/N-SF2,true
Thorlabs,AC254-075-A,f=75mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,75.0,25.4,0.16,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-075-A,71.0,N-BK7/N-SF2,true
Thorlabs,AC254-100-A,f=100mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,100.0,25.4,0.12,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-100-A,96.1,N-BK7/N-SF2,true
Thorlabs,AC254-150-A,f=150mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,150.0,25.4,0.08,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-150-A,147.0,N-BK7/N-SF2,true
Thorlabs,AC254-200-A,f=200mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,200.0,25.4,0.06,AR_BBAR,400,700,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-200-A,197.3,N-BK7/N-SF2,true
Thorlabs,AC254-300-A,f=300mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,300.0,25.4,0.04,AR_BBAR,400,700,,29.40,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-300-A,297.7,N-BK7/N-SF2,true
Thorlabs,AC254-400-A,f=400mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,400.0,25.4,0.03,AR_BBAR,400,700,,29.40,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-400-A,398.0,N-BK7/N-SF2,true
Thorlabs,AC254-500-A,f=500mm Achromatic Doublet AR Coated 400-700nm,achromat_doublet,500.0,25.4,0.025,AR_BBAR,400,700,,29.40,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-500-A,498.2,N-BK7/N-SF2,true
Thorlabs,AC508-075-A,f=75mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,75.0,50.8,0.32,AR_BBAR,400,700,,51.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-075-A,64.5,N-BK7/N-SF2,true
Thorlabs,AC508-100-A,f=100mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,100.0,50.8,0.24,AR_BBAR,400,700,,51.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-100-A,91.2,N-BK7/N-SF2,true
Thorlabs,AC508-150-A,f=150mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,150.0,50.8,0.16,AR_BBAR,400,700,,51.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-150-A,143.5,N-BK7/N-SF2,true
Thorlabs,AC508-200-A,f=200mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,200.0,50.8,0.12,AR_BBAR,400,700,,51.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-200-A,194.8,N-BK7/N-SF2,true
Thorlabs,AC508-300-A,f=300mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,300.0,50.8,0.08,AR_BBAR,400,700,,55.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-300-A,296.2,N-BK7/N-SF2,true
Thorlabs,AC508-400-A,f=400mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,400.0,50.8,0.06,AR_BBAR,400,700,,55.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-400-A,397.0,N-BK7/N-SF2,true
